,,3_consecutive_scores,3_consecutive_scores,perc
,,sum,count,
Spread,Total,,,
0,32,1.0,1,100.0
0,36,4.0,7,56.99999999999999
0,40,36.0,53,68.0
0,44,37.0,55,67.0
0,48,32.0,62,52.0
0,52,7.0,12,57.99999999999999
0,56,5.0,6,83.0
2,32,1.0,1,100.0
2,36,13.0,21,62.0
2,40,50.0,86,57.99999999999999
2,44,73.0,123,59.0
2,48,90.0,133,68.0
2,52,18.0,32,56.00000000000001
2,56,7.0,13,54.0
4,32,1.0,2,50.0
4,36,15.0,29,52.0
4,40,156.0,244,64.0
4,44,203.0,320,63.0
4,48,186.0,294,63.0
4,52,74.0,108,69.0
4,56,33.0,50,66.0
4,60,0.0,1,0.0
4,64,0.0,1,0.0
6,36,8.0,14,56.99999999999999
6,40,58.0,79,73.0
6,44,69.0,118,57.99999999999999
6,48,81.0,120,68.0
6,52,24.0,34,71.0
6,56,13.0,15,87.0
6,60,1.0,1,100.0
8,32,2.0,2,100.0
8,36,6.0,13,46.0
8,40,66.0,97,68.0
8,44,107.0,161,66.0
8,48,97.0,146,66.0
8,52,30.0,52,57.99999999999999
8,56,12.0,19,63.0
8,60,2.0,2,100.0
10,32,1.0,1,100.0
10,36,3.0,5,60.0
10,40,23.0,33,70.0
10,44,34.0,53,64.0
10,48,38.0,52,73.0
10,52,8.0,16,50.0
10,56,7.0,10,70.0
10,60,1.0,1,100.0
12,36,1.0,2,50.0
12,40,14.0,20,70.0
12,44,26.0,37,70.0
12,48,20.0,37,54.0
12,52,4.0,5,80.0
12,60,3.0,3,100.0
14,36,2.0,4,50.0
14,40,9.0,13,69.0
14,44,19.0,27,70.0
14,48,12.0,17,71.0
14,52,8.0,8,100.0
14,56,2.0,3,67.0
16,36,1.0,1,100.0
16,40,7.0,11,64.0
16,44,6.0,9,67.0
16,48,5.0,8,62.0
16,52,1.0,1,100.0
18,48,1.0,1,100.0
20,44,1.0,1,100.0
20,48,2.0,2,100.0
22,48,1.0,1,100.0
26,52,1.0,1,100.0
